127.0.0.1 - - [12/May/2021:10:44:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/May/2021:10:44:21 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [12/May/2021:10:44:21 +0900] "GET /nicdcp_frontend/css/nicdcp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:10:44:21 +0900] "GET /nicdcp_frontend/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:10:44:21 +0900] "GET /nicdcp_frontend/image/NIC-DCP.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:10:44:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/May/2021:10:46:52 +0900] "GET /nicdcp_frontend/learning.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [12/May/2021:10:46:54 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [12/May/2021:10:46:55 +0900] "GET /nicdcp_frontend/learning.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [12/May/2021:10:46:56 +0900] "GET /nicdcp_frontend/dashboard.jsp HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - - [12/May/2021:10:46:56 +0900] "GET /nicdcp_frontend/transaction.jsp HTTP/1.1" 200 4596
0:0:0:0:0:0:0:1 - - [12/May/2021:10:46:57 +0900] "GET /nicdcp_frontend/learning.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [12/May/2021:10:46:58 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [12/May/2021:10:46:59 +0900] "GET /nicdcp_frontend/learning.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [12/May/2021:10:47:47 +0900] "GET /nicdcp_frontend/learning.jsp HTTP/1.1" 200 2932
0:0:0:0:0:0:0:1 - - [12/May/2021:10:47:47 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:22 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:24 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:24 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:24 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:24 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:25 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:25 +0900] "GET /nicdcp_frontend/image/userPWD.png HTTP/1.1" 200 1905
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:39 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:40 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:40 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:41 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:41 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:41 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:42 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:42 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:42 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:43 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:43 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:43 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:53:43 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/May/2021:10:54:16 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [12/May/2021:10:54:17 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [12/May/2021:10:57:07 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [12/May/2021:10:57:08 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [12/May/2021:11:00:33 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [12/May/2021:11:00:54 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [12/May/2021:11:00:54 +0900] "GET /nicdcp_frontend/learning.jsp HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [12/May/2021:11:00:57 +0900] "GET /nicdcp_frontend/step1.jsp HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [12/May/2021:11:00:58 +0900] "GET /nicdcp_frontend/step2.jsp HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [12/May/2021:11:00:59 +0900] "GET /nicdcp_frontend/step3.jsp HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [12/May/2021:11:01:00 +0900] "GET /nicdcp_frontend/step4.jsp HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [12/May/2021:11:01:01 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [12/May/2021:11:01:02 +0900] "GET /nicdcp_frontend/learning.jsp HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [12/May/2021:11:01:05 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [12/May/2021:11:01:07 +0900] "GET /nicdcp_frontend/learning.jsp HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [12/May/2021:11:01:09 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [12/May/2021:15:45:14 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [12/May/2021:15:45:14 +0900] "GET /nicdcp_frontend/css/nicdcp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:15:45:14 +0900] "GET /nicdcp_frontend/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:15:45:14 +0900] "GET /nicdcp_frontend/image/NIC-DCP.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:15:45:15 +0900] "GET /nicdcp_frontend/learning.jsp HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [12/May/2021:15:45:57 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:22 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:29 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:30 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:31 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:31 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:31 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:31 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:32 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:32 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:32 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:32 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:32 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:33 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:33 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:35 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:47:36 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [12/May/2021:15:51:02 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2840
0:0:0:0:0:0:0:1 - - [12/May/2021:15:51:47 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [12/May/2021:15:51:47 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [12/May/2021:15:51:47 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [12/May/2021:15:52:11 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2840
0:0:0:0:0:0:0:1 - - [12/May/2021:15:54:09 +0900] "GET /nicdcp_frontend/learningCont.jsp HTTP/1.1" 200 2922
0:0:0:0:0:0:0:1 - - [12/May/2021:15:58:17 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [12/May/2021:15:58:22 +0900] "GET /nicdcp_frontend/password.jsp HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [12/May/2021:15:58:22 +0900] "GET /nicdcp_frontend/image/userPWD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:15:58:23 +0900] "GET /nicdcp_frontend/config.jsp HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [12/May/2021:15:58:24 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [12/May/2021:16:01:00 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:10 +0900] "GET /nicdcp_frontend/transaction.jsp HTTP/1.1" 200 4616
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:10 +0900] "GET /nicdcp_frontend/dashboard.jsp HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:12 +0900] "GET /nicdcp_frontend/dashboard.jsp HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:15 +0900] "GET /nicdcp_frontend/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:15 +0900] "GET /nicdcp_frontend/login.jsp HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:15 +0900] "GET /nicdcp_frontend/image/userID.png HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:15 +0900] "GET /nicdcp_frontend/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:19 +0900] "GET /nicdcp_frontend/dashboard.jsp HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:25 +0900] "GET /nicdcp_frontend/transaction.jsp HTTP/1.1" 200 4616
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:26 +0900] "GET /nicdcp_frontend/tranCont.jsp HTTP/1.1" 200 5781
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:29 +0900] "GET /nicdcp_frontend/learning.jsp HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [12/May/2021:16:08:32 +0900] "GET /nicdcp_frontend/step1.jsp HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [12/May/2021:16:10:59 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 3752
0:0:0:0:0:0:0:1 - - [12/May/2021:16:19:24 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [12/May/2021:16:19:24 +0900] "GET /nicdcp_frontend/image/graph.png HTTP/1.1" 200 40599
0:0:0:0:0:0:0:1 - - [12/May/2021:16:20:32 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [12/May/2021:16:20:32 +0900] "GET /nicdcp_frontend/image/graph.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2021:16:20:34 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [12/May/2021:16:20:35 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [12/May/2021:16:20:35 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [12/May/2021:16:20:35 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [12/May/2021:16:20:35 +0900] "GET /nicdcp_frontend/report.jsp HTTP/1.1" 200 4535
